id,iebc_ward_name,count,province,district,division,pcode,status,no,shape_type,status_1,created_at,updated_at,voided,county,constituency
1362,Wabera,1,Eastern,Isiolo,Central,KE1363,,241,Polygon,,2026-03-04 16:05:59.93213,2026-03-04 16:26:10.213001,f,Isiolo,Imenti Central
1363,Waberi,1,North Eastern,Garissa,Central,KE1364,,131,Polygon,,2026-03-04 16:05:59.936851,2026-03-04 16:26:10.220554,f,Garissa,Imenti Central
1365,Wagberi,1,North Eastern,Wajir,Central,KE1366,,168,Polygon,,2026-03-04 16:05:59.947221,2026-03-04 16:26:10.233947,f,Wajir,Imenti Central
33,Angata Nanyokie,6,Rift Valley,Samburu,Kirisia,KE0034,,670,Polygon,spelling,2026-03-04 16:05:50.074248,2026-03-04 16:27:31.863801,f,Samburu,Kirisia
53,Banane,7,North Eastern,Wajir,Sabule,KE0054,,184,Polygon,done,2026-03-04 16:05:50.405394,2026-03-04 16:27:32.029113,f,Wajir,Sabule
60,Tirioko,10,Rift Valley,Baringo,Kabartonjo,KE0061,,781,Polygon,done,2026-03-04 16:05:50.661375,2026-03-04 16:27:32.073418,f,Baringo,Kabartonjo
109,Bunyala Central,4,Western,Kakamega,Navakholo,KE0110,,1019,Polygon,,2026-03-04 16:05:51.153733,2026-03-04 16:27:32.363441,f,Kakamega,Navakholo
118,Busali,6,Western,Vihiga,Sabatia,KE0119,,1060,Polygon,,2026-03-04 16:05:51.208564,2026-03-04 16:27:32.406721,f,Vihiga,Sabatia
130,Central Alego,9,Nyanza,Siaya,Boro,KE0131,,1165,Polygon,,2026-03-04 16:05:51.289594,2026-03-04 16:27:32.619773,f,Siaya,Boro
150,Chavakali,4,Western,Vihiga,Sabatia,KE0151,,1057,Polygon,,2026-03-04 16:05:51.560615,2026-03-04 16:27:32.93016,f,Vihiga,Sabatia
167,Chepkorio,9,Rift Valley,Elgeyo Marakwet,Chepkorio,KE0168,,746,Polygon,,2026-03-04 16:05:51.644563,2026-03-04 16:27:33.204689,f,Elgeyo Marakwet,Chepkorio
